
[MIC] Electron permission check for "media" from 
[MIC] Electron permission check for "media" from 
[MIC] Electron permission check for "web-app-installation" from 
[MIC] Electron permission check for "geolocation" from 
[MIC] Electron permission check for "media" from http://127.0.0.1:50424/
[MIC] Electron permission check for "media" from http://127.0.0.1:50424/
[MIC] Electron permission check for "web-app-installation" from http://127.0.0.1:50424/
[MIC] Electron permission check for "geolocation" from http://127.0.0.1:50424/
[MIC] Electron permission check for "media" from http://127.0.0.1:50424/
[MIC] Electron permission check for "media" from http://127.0.0.1:50424/
[MIC] Electron permission check for "web-app-installation" from http://127.0.0.1:50424/
[MIC] Electron permission check for "geolocation" from http://127.0.0.1:50424/
[MIC] Electron permission check for "media" from http://127.0.0.1:50424/
[MIC] Electron permission check for "media" from http://127.0.0.1:50424/
[MIC] Electron permission check for "web-app-installation" from http://127.0.0.1:50424/
[MIC] Electron permission check for "geolocation" from http://127.0.0.1:50424/
